id	name	trl	mrl
5	ANASTACIA	6	3
35	DECODE	6	4
40	DOGANA	7	6
45	ENCASE	4	2
46	EU-SEC	7	5
50	FutureTrust	6	5
55	HERMENEUT	6	5
58	KONFIDO	4	2
60	LIGHTest	7	5
68	MHMD	6	5
112	SAFERtec	2	3
113	SAINT	7	5
124	SMESEC	8	6
126	SODA	7	4
127	SPECIAL	3	1
142	UNICORN	6	5
148	FENTEC	3	3
150	PROMETHEUS	1	1
151	REACT	1	1
152	SerIoT	2	1
153	YAKSHA	3	2
155	Cyber-Trust	3	1
160	SealedGRID	1	2
165	POSEIDON	6	4
168	DEFeND	2	3
170	OLYMPUS	2	2
175	CyberSec4Europe	2	4
176	ECHO	1	3
177	ENACT	3	3
