id	name	trl	mrl
13	CANVAS	9	3
24	COMPACT	7	4
45	ENCASE	6	2
52	GHOST	7	5
60	LIGHTest	7	5
67	mF2C	6	5
68	MHMD	6	5
91	PrEstoCloud	7	5
102	PROTECTIVE	7	7
110	SafeCloud	7	6
114	SAURON	4	2
116	SCOTT	6	5
122	SHIELD	6	5
124	SMESEC	8	6
131	STOP-IT	7	6
148	FENTEC	3	3
152	SerIoT	6	1
155	Cyber-Trust	3	3
160	SealedGRID	2	2
162	ASTRID	2	1
165	POSEIDON	6	4
168	DEFeND	3	3
170	OLYMPUS	2	2
171	THREAT-ARREST	6	6
176	ECHO	7	4
185	PANACEA	3	2
188	SecureIoT	6	5
